CODIGO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2401115,0.2,14.7,0.2,14.7,13.9,2.6,24.7,2.6,2.4,0.6,0.1,0,0,0.4,0,0.1,0.1,0,1.4,3.7,3.7,0,0.2,0.1,0,0.6,2.8,0,0,0.7,18.7
2120190,0,34.9,0,0,33.5,5.6,6.6,1.8,0,5.2,0,1.3,0,0,0,0,0,21,0,0,2,7.1,0,0,0,0,0,0,0,,
2120074,0,0.2,0,0,13,0,2,8.8,3,0,0,0,0,0.5,1,0,0,0,0,4.5,31.5,19.5,0,0,0.2,2,10,0,0,2,12
2306308,3.5,6.2,0,3.6,6.3,3.5,33.4,27.4,2,1.6,0,0,0,0,0,4.9,0,0,24.5,8.5,43.4,20,1.4,0,0,0,0,2.7,0,4.9,25.8
2120652,0,34.2,0,30,53.7,0,32.7,6.1,7.9,3.1,0,0,0,0,0,0,0,0,0,1.5,1.5,30.5,0.3,0,0,0,3.6,0,0,1,22.5
2120174,0.4,4.1,0.2,11.1,8.3,0.2,0.1,11.3,3.7,0.1,0,0,0,0,0,0,0,0,0,3.1,8.7,3.1,1.2,0.1,0,0.1,7.1,0.1,0,2.3,12.5
2120166,2,9.8,0,0,24.1,0,0,13.8,0.6,0,0,0,0,0,0,0,0,0,5.6,2.1,5.6,17,0,0,2,0,1,0,0,0.5,15.5
2119046,0,1.9,0,0,41.6,0,11.1,24,1.2,0,0,4.3,0,0,0,0,0,0,0,5,20,5,2,0,0,2,2.5,0,0,4.1,7.4
2120182,1.4,8.2,0,4.3,28,0.1,55.2,56.7,0.2,27.5,0.1,0.5,0.1,0.2,0,0.1,0.2,0.5,0.4,21.8,52,16.7,8.4,0.2,0.1,0.2,0.7,0.5,0.1,1.4,37.6
2120168,0,0,0,0,1.3,0,51.2,4.1,4,0,0,0,0,0,0,0,0,0,0,11.2,0.9,0,0,0,0,2.2,3.2,0,0,0.7,13.5
2401037,0,9,0,22,5,35,10,5,4,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,5,26
2401057,0,5,0,0,25,0,0,8,7,0,0,0,0,0,0,2,0,0,0,20,12,8,0,0,0,5,10,0,0,5,15
2401515,0,0.5,0,2.5,3.5,0,29.4,3,6.5,0,0,0,0,1,0,0,0,0,0,9.1,3.7,26.3,0,0,0,1.9,2.3,0,0,0.5,12
2120540,0,0,0,0.2,7.4,0.6,35.7,13.6,2.3,0,2.6,0,0,0.6,0,0,0,0,0,12,3,0.7,0,0,0,0,0.9,0,0,1.2,14.2
2306040,0,6,0,5,3,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,36,0,10,2,0,0,0,12,4
2120077,1,5.8,1,1.3,10.5,0,0,16.2,0,0,0,1.4,0,0,3.1,0,0,0,5.1,0,54.4,34.8,0,0,3.7,7.1,7,0,0,0,
2123007,0,2.7,0,7.2,13.5,0,0,1.3,6.7,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0.4
2401534,0,4.2,0,4,3.8,2.3,10.4,3.7,1.3,0.6,0,0,0,0.2,0,0,0,0,10.7,0.3,0.2,0,0.3,0,0.4,0.4,0.6,0,0,2.7,19.6
26030150,6.6,31.4,,3.6,6.3,15.3,1.3,18.1,6.6,14.2,0,0,0,0,0,0,0,0,2.5,,,,2.1,0,0.9,0,1.6,0,3,42.4,19.2
26020030,13,85,0,0,0,49,0,48,0,12,0,0,0,0,0,0,0,0,138,0,,26,0,0,0,17,0,0,0,0,17
25025080,0,0,0,0,0,48,0,1.3,3.5,0,0,6.4,0,15.5,0,0,0,0,0,2.4,0,0,0.5,0,0.8,0,9.5,0,0,19.7,2.2
29015000,0,0,5.2,2.2,0.5,0,2.5,2.6,2,8.4,0,0,0,0,0,0,0,0,0,7.4,0,0,3.2,0,0,1.6,7.7,0,0.5,6.5,8.3
29030050,0,0,0,10,15,0,6,4,12,65,0,0,0,10,0,0,0,20,0,0,0,0,0,0,0,10,50,0,5,40,15
25025170,25.6,3.2,0,0,0.4,4.2,0.6,0,25.5,1.7,0,19.5,3.4,28.1,0.1,0,0,0,7.7,0.5,0,19.6,12.3,0,18,0.4,0.2,0.5,0,46.9,2.1
25020140,0,0,0,0,0,0,0,15,26,0,0,12,0,22,0,0,0,0,0,14,0,0,4,0,2,0,0,0,0,22,0
29040240,0,0,0,0,0,36.5,2,10,6,0,4,0,0,0,0,25,5,1,25,12,0,7,5,0,0,0,0,0,0,0,20
29040230,0,0,0,0,18,68,26,18,27,19,0,0,0,0,0,10,0,0,0,53,0,0,0,0,0,0,0,0,0,0,92
25025160,3,0,0,0,0,0,0,3,140,0,0,0,0,34,0,0,0,6.1,0,0,0,0,28,0,,0,5,6.1,0,50.1,3.1
25021350,1.6,0,0,5.8,0,0,2.7,3.4,6.6,0,0,0,0,6.5,0,0,0,0,0,23.2,0,0,10.5,0,0,0,0,15.3,0,17.3,0
25025190,0,0,0,0,0,9,3,21,61,4.4,0,0.5,0,29.5,0,0,0,21.9,0,0,0,0,2.5,0,20,0,5.6,0.3,0,73,73.7
29040310,0,0,14,8,0,0,0,0,18,0,0,6,0,0,0,0,0,0,0,0,0,4,0,17,0,0,0,0,6,34,12
25020470,0,0,0,0,0,13,0,25.2,0,0,0,3.4,0,15.6,0,0,0,0,0,9.7,0,0,4.2,0,0,0,0,0,0,6.3,0
12030010,0,0,9,55,0,0,3,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3
29035110,0,0,0,0,0,0,0,0.7,0,0,17.3,0.7,0,6,0,0,0,0,25.1,1.9,0,0,0,0,0,4.9,67.7,0,0,81.4,8.2
14010050,0,0,0,0,0,0,0,0.6,0,0,1.2,0,0,4.3,0,0,0,0,8.1,0,0,0,19.7,13.8,0,0,11.6,0,0,9.8,2.9
29035080,0,0,6.5,1,0,12.2,0,3.9,0,8.4,0,0,0,0,0,16.4,0,0,2.4,6,0,0,11,5.5,0,0,4,0,0,49.8,6
