CODIGO,date,value
26160090,2025-04-29,33
11010010,2025-04-29,108.4
26230010,2025-04-29,8
26230240,2025-04-29,20
27010830,2025-04-29,14
23080740,2025-04-29,32
23080760,2025-04-29,22
26180180,2025-04-29,39
26210080,2025-04-29,48
27010800,2025-04-29,31
26195020,2025-04-29,25
23085140,2025-04-29,50
26230140,2025-04-29,17.7
23085030,2025-04-29,42
26180160,2025-04-29,15.3
26230200,2025-04-29,11.7
11110020,2025-04-29,11.5
11110010,2025-04-29,9
26220090,2025-04-29,5
26240170,2025-04-29,0
26210140,2025-04-29,17
27010900,2025-04-29,29
26240100,2025-04-29,0
26170190,2025-04-29,9.2
25020530,2025-04-29,17
26200150,2025-04-29,25
26185020,2025-04-29,45.5
27020210,2025-04-29,43
26175040,2025-04-29,13.7
26160080,2025-04-29,10
12010120,2025-04-29,25
27020220,2025-04-29,21.2
26230110,2025-04-29,9
26180220,2025-04-29,56.8
26190090,2025-04-29,70
26240150,2025-04-29,0
26250030,2025-04-29,0
27015260,2025-04-29,25.3
27040040,2025-04-29,10
12020010,2025-04-29,4
25021480,2025-04-29,22
26200130,2025-04-29,11.4
23080390,2025-04-29,35
35180030,2025-04-29,4
35095110,2025-04-29,1.7
35025110,2025-04-29,51.5
31015010,2025-04-29,20
35010010,2025-04-29,41
35030380,2025-04-29,44.9
35010020,2025-04-29,24
32155010,2025-04-29,6
35100020,2025-04-29,10.1
35030090,2025-04-29,41
35010090,2025-04-29,45
35010070,2025-04-29,68
32035010,2025-04-29,36
32060030,2025-04-29,24
35045020,2025-04-29,55
35020010,2025-04-29,28
35090110,2025-04-29,36
31095030,2025-04-29,71
32070060,2025-04-29,50
35020060,2025-04-29,55
32070120,2025-04-29,37
32070100,2025-04-29,39
35050010,2025-04-29,41
3502500006,2025-04-29,45
32080010,2025-04-29,64
35030010,2025-04-29,20
32060100,2025-04-29,42
35030290,2025-04-29,49
42070030,2025-04-29,7
35020020,2025-04-29,40
35125010,2025-04-29,3
35030370,2025-04-29,35
33055010,2025-04-29,12
32070040,2025-04-29,32
35225030,2025-04-29,24
35105050,2025-04-29,18
32075050,2025-04-29,38
32060060,2025-04-29,42
21250450,2025-04-29,9
21255080,2025-04-29,5.5
21250070,2025-04-29,
21160030,2025-04-29,39
21235010,2025-04-29,0.9
21165010,2025-04-29,82
22060070,2025-04-29,78
21245010,2025-04-29,9.9
21250500,2025-04-29,62
21245140,2025-04-29,53.5
23025040,2025-04-29,48.5
21210240,2025-04-29,25
21255090,2025-04-29,35.7
22050060,2025-04-29,6
23050080,2025-04-29,52.5
23020100,2025-04-29,78.3
21255170,2025-04-29,42
21185080,2025-04-29,27
21210230,2025-04-29,23.7
22050040,2025-04-29,23.4
21130010,2025-04-29,50
22065040,2025-04-29,
22050030,2025-04-29,44.5
22020030,2025-04-29,18
22070010,2025-04-29,30.2
23055040,2025-04-29,78
21135020,2025-04-29,27.3
21190290,2025-04-29,54
21230090,2025-04-29,23.4
21255120,2025-04-29,64.6
22020050,2025-04-29,38
22050090,2025-04-29,31
22055020,2025-04-29,68.8
23050230,2025-04-29,54
23050100,2025-04-29,7
21185030,2025-04-29,22.7
23060150,2025-04-29,8.3
21160040,2025-04-29,45
2125500032,2025-04-29,80.2
26075080,2025-04-29,27
26080310,2025-04-29,2.5
26145020,2025-04-29,13
26080280,2025-04-29,15
26090630,2025-04-29,14
26095320,2025-04-29,51
26020250,2025-04-29,14
26010020,2025-04-29,9.7
54025010,2025-04-29,
26120160,2025-04-29,70
26020470,2025-04-29,10
26105140,2025-04-29,15
26055120,2025-04-29,9.8
26140180,2025-04-29,60
26140090,2025-04-29,20
26155170,2025-04-29,8.8
26070760,2025-04-29,19
26025070,2025-04-29,
26130560,2025-04-29,23
26050060,2025-04-29,60
26145030,2025-04-29,11
26030050,2025-04-29,
26010030,2025-04-29,2
26025100,2025-04-29,23.2
53100040,2025-04-29,1
26150060,2025-04-29,21.3
26080070,2025-04-29,17
26100830,2025-04-29,30
26135100,2025-04-29,48
26075010,2025-04-29,7.8
54020060,2025-04-29,94
26025090,2025-04-29,54.3
26025110,2025-04-29,34.9
26060020,2025-04-29,
53110130,2025-04-29,8.4
26090060,2025-04-29,34
26100770,2025-04-29,27
26100780,2025-04-29,17
26110040,2025-04-29,17
26110150,2025-04-29,13.5
26110230,2025-04-29,17
26020130,2025-04-29,23
26120150,2025-04-29,83
26120170,2025-04-29,75
26125130,2025-04-29,43
26130020,2025-04-29,20.4
26130170,2025-04-29,14.6
26135160,2025-04-29,26.7
26150160,2025-04-29,12
26160100,2025-04-29,15
26170290,2025-04-29,33
54010010,2025-04-29,93
54020010,2025-04-29,144
26120120,2025-04-29,2.6
54030020,2025-04-29,0
52010060,2025-04-29,5
51025090,2025-04-29,22.7
51020040,2025-04-29,2
52045010,2025-04-29,1.2
44015060,2025-04-29,24
52055220,2025-04-29,2.2
52020020,2025-04-29,7.8
44010110,2025-04-29,67
52050120,2025-04-29,0.2
52030090,2025-04-29,1.8
52040060,2025-04-29,0
52050110,2025-04-29,2.3
47015040,2025-04-29,0
52065020,2025-04-29,94
52055030,2025-04-29,9.5
53020010,2025-04-29,12
53010020,2025-04-29,12
44015030,2025-04-29,5.5
52055210,2025-04-29,1.5
47045010,2025-04-29,0
52045030,2025-04-29,10.3
52025090,2025-04-29,20.4
52025020,2025-04-29,6.6
52040160,2025-04-29,12.5
52045040,2025-04-29,6.2
52040040,2025-04-29,14.1
47010150,2025-04-29,13
44010090,2025-04-29,24
47010050,2025-04-29,6.2
52025080,2025-04-29,20.5
44010030,2025-04-29,24.7
47010220,2025-04-29,34
52030060,2025-04-29,1.8
52030030,2025-04-29,3.6
52010180,2025-04-29,8
47020020,2025-04-29,
52050060,2025-04-29,6
52010040,2025-04-29,15.8
47010030,2025-04-29,0
47010230,2025-04-29,8.5
47010090,2025-04-29,17
47020010,2025-04-29,87
52010160,2025-04-29,49
47010180,2025-04-29,7.5
47010110,2025-04-29,13
52010050,2025-04-29,35.8
52040050,2025-04-29,41.1
47015100,2025-04-29,4.2
53050020,2025-04-29,7
53060020,2025-04-29,9
47060010,2025-04-29,0
47010020,2025-04-29,16
53070050,2025-04-29,65
52020010,2025-04-29,5
52050090,2025-04-29,3.4
52055090,2025-04-29,3.4
52050080,2025-04-29,2
52050140,2025-04-29,8.6
52055060,2025-04-29,13.1
52050130,2025-04-29,3.5
52010030,2025-04-29,1.3
52080010,2025-04-29,5.3
